city,index,landmark,stored,class,lead,note
Abha,3,Green Mountain (Jabal Thera),"18.2046855,42.5062038",UNRESOLVED,,
Abha,4,Abha Dam Lake,"18.2116134,42.48672579999999",UNRESOLVED,,
Abha,5,Habala Village,"18.2464685,42.5117238",UNRESOLVED,,
Abha,6,Rijal Almaa Heritage Village,"18.2124594,42.2734154",UNRESOLVED,,
Abha,8,Abha High City,"18.2008944,42.4950944",UNRESOLVED,,
Abidjan,2,Le Plateau Skyline,"5.332547099999999,-4.023868999999999",UNRESOLVED,,
Abidjan,7,Treichville Market,"5.3076419,-4.0140495",FIX,"OSM 'Black Market de Treichville' 5.29917,-4.00773",
Abidjan,9,Cocody Town Hall,"5.3602164,-3.9674371",UNRESOLVED,,
Abu Dhabi,6,Abu Dhabi Corniche,"24.4922589,54.3533032",WD_ONLY,"Wikidata Q1519 'Abū Dhabi' 24.45111,54.39694",
Acapulco de Juarez,5,Zocalo and Nuestra Senora de la Soledad Cathedral,"16.8490916,-99.90889080000001",UNRESOLVED,,
Acapulco de Juarez,7,Playas Caleta y Caletilla,"16.8292502,-99.9097292",UNRESOLVED,,
Addis Ababa,2,Entoto Mountain,"9.0191936,38.7524635",UNRESOLVED,,
Adelaide,5,Mount Lofty Summit,"-34.9586178,138.715625",REVIEW,"OSM 'Mount Lofty Summit Access Road' -34.97618,138.71004",same-name OSM hits 2 km apart
Adelaide,6,Glenelg Beach,"-34.9791277,138.5102207",UNRESOLVED,,
Agadez,1,Old Town of Agadez,"16.9741689,7.986535",UNRESOLVED,,
Agadez,3,Kaocen Palace,"16.9741689,7.986535",UNRESOLVED,,
Agadez,4,Maison de Heinrich Barth,"16.9741689,7.986535",UNRESOLVED,,
Agadez,5,Grand Marche (Grand Market),"16.9717549,7.987386699999999",UNRESOLVED,,
Agadez,6,Camel Market,"16.9741689,7.986535",UNRESOLVED,,
Agadez,7,Village Artisanal,"16.9741689,7.986535",UNRESOLVED,,
Agadez,9,Tenere Desert,"16.9512572,7.9693907",UNRESOLVED,,
Agadir,1,Agadir Beach and Promenade,"30.4280405,-9.5925444",UNRESOLVED,,
Agadir,4,Musee du Patrimoine Amazigh (Amazigh Heritage Museum),"30.4159487,-9.597026",UNRESOLVED,,
Agra,8,Ram Bagh (Aram Bagh),"27.2071559,78.0410787",UNRESOLVED,,
Agra,9,Kinari Bazaar,"27.1686267,78.0419366",REVIEW,"OSM 'Kinari Bazaar' 27.09592,77.66385",
Ahmedabad,1,Jama Mosque,"23.0238,72.5872",UNRESOLVED,,
Ahmedabad,3,Bhadra Fort & Teen Darwaza,"23.0236,72.5811",UNRESOLVED,,
Al Ahmadi,1,Ahmad Al-Jaber Oil and Gas Exhibition,"29.0954761,48.0757102",UNRESOLVED,,
